root,type,domain,rank_I,rank_II,rank_III,rank_IV,rank_V,rank_VI,rank_VII,rank_VIII,rank_IX,rank_X,rank_XI
root,Main genome,Eukaryota,SAR,Alveolata,Ciliophora,Phyllopharyngea,Cyrtophoria 7,Hartmannulidae,Hartmannulidae X,Hartmannulidae X_unclassified,Hartmannulidae X_unclassified,Hartmannulidae X_unclassified,Hartmannulidae X_unclassified
root,Main genome,Eukaryota,Amorphea,Metazoa,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Campanulariidae_unclassified,Campanulariidae_unclassified,Campanulariidae_unclassified,Campanulariidae_unclassified,Campanulariidae_unclassified
root,Main genome,Eukaryota,SAR,Alveolata,Alveolata_unclassified,Alveolata_unclassified,Alveolata_unclassified,Alveolata_unclassified,Alveolata_unclassified,Alveolata_unclassified,Alveolata_unclassified,Alveolata_unclassified,Alveolata_unclassified
root,Main genome,Eukaryota,SAR,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Filosa-Sarcomonadea_unclassified,Filosa-Sarcomonadea_unclassified,Filosa-Sarcomonadea_unclassified,Filosa-Sarcomonadea_unclassified,Filosa-Sarcomonadea_unclassified,Filosa-Sarcomonadea_unclassified,Filosa-Sarcomonadea_unclassified
root,Main genome,Eukaryota,Amorphea,Metazoa,Nematoda,Chromadorea,Monhysterida,Monhysterida_unclassified,Monhysterida_unclassified,Monhysterida_unclassified,Monhysterida_unclassified,Monhysterida_unclassified,Monhysterida_unclassified
root,Main genome,Eukaryota,SAR,Alveolata,Apicomplexa,Gregarinomorphea,Gregarines,Gregarines X,Selenidium1,Selenidium1 sp.,Selenidium1 sp._unclassified,Selenidium1 sp._unclassified,Selenidium1 sp._unclassified
root,Main genome,Eukaryota,SAR,Alveolata,Dinoflagellata,Dinophyceae,Dinophyceae_unclassified,Dinophyceae_unclassified,Dinophyceae_unclassified,Dinophyceae_unclassified,Dinophyceae_unclassified,Dinophyceae_unclassified,Dinophyceae_unclassified
root,Main genome,Eukaryota,SAR,Rhizaria,Cercozoa,Cercozoa_unclassified,Cercozoa_unclassified,Cercozoa_unclassified,Cercozoa_unclassified,Cercozoa_unclassified,Cercozoa_unclassified,Cercozoa_unclassified,Cercozoa_unclassified
root,Main genome,Eukaryota,Excavata,Discoba,Diplonemea,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified
root,Main genome,Eukaryota,SAR,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Eugregarinorida_unclassified,Eugregarinorida_unclassified,Eugregarinorida_unclassified,Eugregarinorida_unclassified,Eugregarinorida_unclassified,Eugregarinorida_unclassified
root,Main genome,Eukaryota,SAR,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Lecudinidae,Lecudina,Lecudina tuzetae,Lecudina tuzetae_unclassified,Lecudina tuzetae_unclassified,Lecudina tuzetae_unclassified
root,Main genome,Eukaryota,Amorphea,Metazoa,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,Acartia_unclassified,Acartia_unclassified,Acartia_unclassified,Acartia_unclassified
root,Main genome,Eukaryota,Amorphea,Amoebozoa,Lobosa,Tubulinea,Tubulinea_unclassified,Tubulinea_unclassified,Tubulinea_unclassified,Tubulinea_unclassified,Tubulinea_unclassified,Tubulinea_unclassified,Tubulinea_unclassified
root,Main genome,Eukaryota,SAR,Alveolata,Apicomplexa,Gregarinomorphea,Gregarines,Gregarines X,Selenidium1,Selenidium1_unclassified,Selenidium1_unclassified,Selenidium1_unclassified,Selenidium1_unclassified
root,Main genome,Eukaryota,SAR,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Lecudinidae,Lecudinidae_unclassified,Lecudinidae_unclassified,Lecudinidae_unclassified,Lecudinidae_unclassified,Lecudinidae_unclassified
root,Main genome,Eukaryota,Excavata,Discoba,Diplonemea,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified
