Sample_ID,Sample_type,Site,Sample_date,Extraction_date,Julian_day,Month,Season,Depth,Latitude,Longitude,Shoot_Length,Leaf_Width,No_Leaves,Dataset,Dataset_short,Dislodgment_method,Area,Country,Sample_name_16S,Sample_name_18S,E,N,NE,NW,S,SE,SW,W,Sheltered.Index,Sea.Surface.Temperature,Orbital_Velocity_Mean,Orbital_Velocity_Max,Salinity,Bathymetry,LibrarySize_18S,Richness_18S,Shannon_18S,DNA_Concentration
M_N_SGO_t0_2,old_leaf,Maasholm,2021-06-10,26.11.2021,161,June,Summer,NA,54.687,10.007,21.2,3,7,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P02-F11-SeaStore-Seq02-2022-2-water-in-Kos,1183F-1443R-P02-F11-SeaStore-Seq02-2022-2-water-in-Kos,0,0.0208602738,0.001887815768,0.7736870256,0.8239476887,0.07844843815,0.9893686468,0.8583808343,6,13.50905609,Inf,Inf,21.46413422,0,43497,151,3.228131036,2.27
KR2_SGO_3,old_leaf,Koster,2021-08-10,18.11.2022,222,August,Summer,NA,58.883,11.005,31.2,6.3,5,Seastore_Project,SP,whole_leaf,Kosterfjord,Sweden,515F-806R-P03-D04-SeaStore-Seq03-2022-2-ASD-SGO-1,1183F-1443R-P03-D04-SeaStore-Seq03-2022-2-ASD-SGO-1,0.005264161028,0,0.06312000291,0,0,0,0,0,1,19.41951269,Inf,Inf,34.83201981,0,43160,15,0.3906790983,24.2
GR19_SGO_2,old_leaf,Gasö,2021-07-27,NA,208,July,Summer,NA,58.231,11.398,69,4.5,6,Seastore_Project,SP,whole_leaf,Gasöfjord,Sweden,515F-806R-P03-H11-SeaStore-Seq03-2022-2-SGO-Kos,1183F-1443R-P03-H11-SeaStore-Seq03-2022-2-SGO-Kos,0.3033549403,0.3750089868,0.4951985825,0.001713457289,0.1468052015,0.6594236105,0,0,5,20.51777122,0.1022027249,0.744295368,34.69461823,-2.55,183541,36,0.8781474836,18.7
G_D_SGO_t0_1,old_leaf,Gelting,2022-05-11,24.08.2022,131,May,Spring,NA,54.767,9.877,NA,3,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-A07-K-RQ1-SGR-t5-2,1183F-1443R-P01-A07-K-RQ1-SGR-t5-2,0.3758405423,0,0.04060224616,0,0.9998640278,0.8520116648,0.9992209203,0.6779932079,6,10.90079722,5.30E-06,0.001586354497,19.05716705,-4.09,33672,13,0.3631363984,4.86
M_RQ4_SGO_t5_3,old_leaf,Maasholm,2023-05-24,10.08.2023,144,May,Spring,NA,54.687,10.007,NA,3,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-C06-M-RQ4-SGR-t5-1,1183F-1443R-P01-C06-M-RQ4-SGR-t5-1,0,0.0208602738,0.001887815768,0.7736870256,0.8239476887,0.07844843815,0.9893686468,0.8583808343,6,11.33843114,Inf,Inf,16.37156105,0,24608,33,1.072485415,12.3
K_RQ4_SGO_t5_1,old_leaf,Kiel,2023-05-23,08.08.2023,143,May,Spring,NA,54.349,10.15,NA,8,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-F08-K-RQ3-SGR-t5-2,1183F-1443R-P01-F08-K-RQ3-SGR-t5-2,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,3.08E-06,4.87E-05,14.94716454,-3.64,7557,59,2.718526837,14.1
G_D_SGO_t4_1,old_leaf,Gelting,2023-06-20,08.08.2023,171,June,Summer,NA,54.767,9.877,NA,4.5,6,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-H09-SGR-10-Sli,1183F-1443R-P01-H09-SGR-10-Sli,0.3758405423,0,0.04060224616,0,0.9998640278,0.8520116648,0.9992209203,0.6779932079,6,17.19660065,0.001724405328,0.08903993231,19.55888939,-4.09,24803,76,2.817717142,12.7
K_D_SGO_t0_1,old_leaf,Kiel,2021-05-31,28.07.2021,151,May,Spring,NA,54.346,10.154,25.1,4.5,6,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-A01-SeaStore-Seq01-2022-K-D-SGO-t0-1,1183F-1443R-P01-A01-SeaStore-Seq01-2022-K-D-SGO-t0-1,0.9486099468,0.8552587941,0.373863805,0.9949431349,0.9852850089,0.9802549501,0.9990751514,1,8,NA,8.01E-06,3.82E-04,17.3962841,-3.64,26714,32,1.553765543,11
K_D_SGO_t1_3,old_leaf,Kiel,2021-07-06,26.11.2021,187,July,Summer,NA,54.346,10.154,48.7,4,3,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-A02-SeaStore-Seq01-2022-K-D-SGO-t1-3,1183F-1443R-P01-A02-SeaStore-Seq01-2022-K-D-SGO-t1-3,0.9486099468,0.8552587941,0.373863805,0.9949431349,0.9852850089,0.9802549501,0.9990751514,1,8,NA,1.17E-05,0.001480895281,13.03527451,-3.64,10879,15,1.603687778,10.9
K_RQ3_SGO_t1_1,old_leaf,Kiel,2021-07-07,25.11.2021,188,July,Summer,NA,54.349,10.15,23,2,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-A04-SeaStore-Seq01-2022-K-RQ3-SGO-t1-1,1183F-1443R-P01-A04-SeaStore-Seq01-2022-K-RQ3-SGO-t1-1,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,7.25E-07,5.41E-05,14.44174767,-3.64,27054,20,2.070064246,3.05
