Sample_ID,Sample_type,Site,Sample_date,Extraction_date,Julian_day,Month,Season,Depth,Latitude,Longitude,Shoot_Length,Leaf_Width,No_Leaves,Dataset,Dataset_short,Dislodgment_method,Area,Country,Sample_name_16S,Sample_name_18S,E,N,NE,NW,S,SE,SW,W,Sheltered.Index,Sea.Surface.Temperature,Orbital_Velocity_Mean,Orbital_Velocity_Max,Salinity,Bathymetry,LibrarySize_16S,Richness_16S,Shannon_16S,DNA_Concentration
M_N_SGO_t0_2,old_leaf,Maasholm,2021-06-10,26.11.2021,161,June,Summer,NA,54.687,10.007,21.2,3,7,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P02-F11-SeaStore-Seq02-2022-2-water-in-Kos,1183F-1443R-P02-F11-SeaStore-Seq02-2022-2-water-in-Kos,0,0.0208602738,0.001887815768,0.7736870256,0.8239476887,0.07844843815,0.9893686468,0.8583808343,6,13.50905609,Inf,Inf,21.46413422,0,9077,96,3.549123707,2.27
KR2_SGO_3,old_leaf,Koster,2021-08-10,18.11.2022,222,August,Summer,NA,58.883,11.005,31.2,6.3,5,Seastore_Project,SP,whole_leaf,Kosterfjord,Sweden,515F-806R-P03-D04-SeaStore-Seq03-2022-2-ASD-SGO-1,1183F-1443R-P03-D04-SeaStore-Seq03-2022-2-ASD-SGO-1,0.005264161028,0,0.06312000291,0,0,0,0,0,1,19.41951269,Inf,Inf,34.83201981,0,21649,264,4.449768197,24.2
GR19_SGO_2,old_leaf,Gasö,2021-07-27,NA,208,July,Summer,NA,58.231,11.398,69,4.5,6,Seastore_Project,SP,whole_leaf,Gasöfjord,Sweden,515F-806R-P03-H11-SeaStore-Seq03-2022-2-SGO-Kos,1183F-1443R-P03-H11-SeaStore-Seq03-2022-2-SGO-Kos,0.3033549403,0.3750089868,0.4951985825,0.001713457289,0.1468052015,0.6594236105,0,0,5,20.51777122,0.1022027249,0.744295368,34.69461823,-2.55,52100,716,5.755890124,18.7
M_RQ4_SGO_t5_1,old_leaf,Maasholm,2023-05-24,08.08.2023,144,May,Spring,NA,54.687,10.007,NA,3,6,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-C04-K-RQ3-SGO-t5-1,1183F-1443R-P01-C04-K-RQ3-SGO-t5-1,0,0.0208602738,0.001887815768,0.7736870256,0.8239476887,0.07844843815,0.9893686468,0.8583808343,6,11.33843114,Inf,Inf,16.37156105,0,25624,170,3.783991619,22
M_RQ4_SGO_t5_2,old_leaf,Maasholm,2023-05-24,09.08.2023,144,May,Spring,NA,54.687,10.007,NA,3.5,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-C05-M-RQ3-SGO-t5-1,1183F-1443R-P01-C05-M-RQ3-SGO-t5-1,0,0.0208602738,0.001887815768,0.7736870256,0.8239476887,0.07844843815,0.9893686468,0.8583808343,6,11.33843114,Inf,Inf,16.37156105,0,31478,280,3.813632828,22.8
K_RQ1_SGO_t5_3,old_leaf,Kiel,2023-05-23,10.08.2023,143,May,Spring,NA,54.349,10.15,NA,3,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-E04-K-RQ3-SGO-t5-3,1183F-1443R-P01-E04-K-RQ3-SGO-t5-3,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,3.08E-06,4.87E-05,14.94716454,-3.64,13689,105,3.519167068,10.9
K_RQ2_SGO_t5_1,old_leaf,Kiel,2023-05-22,08.08.2023,142,May,Spring,NA,54.349,10.15,NA,4,10,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-E08-M-RQ4-SGO-t5-1,1183F-1443R-P01-E08-M-RQ4-SGO-t5-1,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,3.00E-06,4.87E-05,14.94716454,-3.64,32069,317,4.018748687,1.64
K_RQ3_SGO_t5_1,old_leaf,Kiel,2023-05-25,08.08.2023,145,May,Spring,NA,54.349,10.15,NA,4,8,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-F02-K-RQ2-SGO-t5-1,1183F-1443R-P01-F02-K-RQ2-SGO-t5-1,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,2.52E-06,5.06E-05,14.94716454,-3.64,25888,99,3.220830854,11.2
K_RQ3_SGO_t5_2,old_leaf,Kiel,2023-05-25,09.08.2023,145,May,Spring,NA,54.349,10.15,NA,4,5,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-F03-K-D-SGO-t5-3,1183F-1443R-P01-F03-K-D-SGO-t5-3,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,2.52E-06,5.06E-05,14.94716454,-3.64,23015,164,3.769480047,13.5
K_RQ3_SGO_t5_3,old_leaf,Kiel,2023-05-25,10.08.2023,145,May,Spring,NA,54.349,10.15,NA,NA,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-F04-M-RQ4-SGO-t5-3,1183F-1443R-P01-F04-M-RQ4-SGO-t5-3,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,2.52E-06,5.06E-05,14.94716454,-3.64,20950,292,3.655319075,12.2
K_D_SGO_t0_1,old_leaf,Kiel,2021-05-31,28.07.2021,151,May,Spring,NA,54.346,10.154,25.1,4.5,6,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-A01-SeaStore-Seq01-2022-K-D-SGO-t0-1,1183F-1443R-P01-A01-SeaStore-Seq01-2022-K-D-SGO-t0-1,0.9486099468,0.8552587941,0.373863805,0.9949431349,0.9852850089,0.9802549501,0.9990751514,1,8,NA,8.01E-06,3.82E-04,17.3962841,-3.64,17273,140,3.75246953,11
K_D_SGO_t1_3,old_leaf,Kiel,2021-07-06,26.11.2021,187,July,Summer,NA,54.346,10.154,48.7,4,3,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-A02-SeaStore-Seq01-2022-K-D-SGO-t1-3,1183F-1443R-P01-A02-SeaStore-Seq01-2022-K-D-SGO-t1-3,0.9486099468,0.8552587941,0.373863805,0.9949431349,0.9852850089,0.9802549501,0.9990751514,1,8,NA,1.17E-05,0.001480895281,13.03527451,-3.64,24811,148,3.315226854,10.9
K_RQ3_SGO_t1_1,old_leaf,Kiel,2021-07-07,25.11.2021,188,July,Summer,NA,54.349,10.15,23,2,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-A04-SeaStore-Seq01-2022-K-RQ3-SGO-t1-1,1183F-1443R-P01-A04-SeaStore-Seq01-2022-K-RQ3-SGO-t1-1,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,7.25E-07,5.41E-05,14.44174767,-3.64,16738,245,4.522779339,3.05
K_RQ4_SGO_t1_3,old_leaf,Kiel,2021-07-07,16.12.2021,188,July,Summer,NA,54.349,10.15,21.5,4,7,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-A05-SeaStore-Seq01-2022-K-RQ4-SGO-t1-3,1183F-1443R-P01-A05-SeaStore-Seq01-2022-K-RQ4-SGO-t1-3,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,7.25E-07,5.41E-05,14.44174767,-3.64,46076,231,3.526708821,64
K_D_SGO_t0_2,old_leaf,Kiel,2021-05-31,25.11.2021,151,May,Spring,NA,54.346,10.154,17,3,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-B01-SeaStore-Seq01-2022-K-D-SGO-t0-2,1183F-1443R-P01-B01-SeaStore-Seq01-2022-K-D-SGO-t0-2,0.9486099468,0.8552587941,0.373863805,0.9949431349,0.9852850089,0.9802549501,0.9990751514,1,8,NA,8.01E-06,3.82E-04,17.3962841,-3.64,28598,212,4.217596101,11.7
K_RQ3_SGO_t1_2,old_leaf,Kiel,2021-07-07,28.07.2021,188,July,Summer,NA,54.349,10.15,9.2,2,3,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-B04-SeaStore-Seq01-2022-K-RQ3-SGO-t1-2,1183F-1443R-P01-B04-SeaStore-Seq01-2022-K-RQ3-SGO-t1-2,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,7.25E-07,5.41E-05,14.44174767,-3.64,41198,203,3.690257144,0.645
K_D_SGO_t0_3,old_leaf,Kiel,2021-05-31,01.12.2021,151,May,Spring,NA,54.346,10.154,18.6,4,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-C01-SeaStore-Seq01-2022-K-D-SGO-t0-3,1183F-1443R-P01-C01-SeaStore-Seq01-2022-K-D-SGO-t0-3,0.9486099468,0.8552587941,0.373863805,0.9949431349,0.9852850089,0.9802549501,0.9990751514,1,8,NA,8.01E-06,3.82E-04,17.3962841,-3.64,41870,194,2.93716199,22
K_RQ2_SGO_t1_1,old_leaf,Kiel,2021-07-07,25.11.2021,188,July,Summer,NA,54.349,10.15,14.4,2.5,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-C03-SeaStore-Seq01-2022-K-RQ2-SGO-t1-1,1183F-1443R-P01-C03-SeaStore-Seq01-2022-K-RQ2-SGO-t1-1,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,7.25E-07,5.41E-05,14.44174767,-3.64,40003,171,3.442677829,6.84
K_RQ3_SGO_t1_3,old_leaf,Kiel,2021-07-07,16.12.2021,188,July,Summer,NA,54.349,10.15,19.5,4,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-C04-SeaStore-Seq01-2022-K-RQ3-SGO-t1-3,1183F-1443R-P01-C04-SeaStore-Seq01-2022-K-RQ3-SGO-t1-3,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,7.25E-07,5.41E-05,14.44174767,-3.64,37810,309,4.05309623,47.6
M_RQ4_SGO_t1_1,old_leaf,Maasholm,2021-07-05,28.07.2021,186,July,Summer,NA,54.687,10.007,14.8,2.5,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-C06-SeaStore-Seq01-2022-M-RQ4-SGO-t1-1,1183F-1443R-P01-C06-SeaStore-Seq01-2022-M-RQ4-SGO-t1-1,0,0.0208602738,0.001887815768,0.7736870256,0.8239476887,0.07844843815,0.9893686468,0.8583808343,6,19.08343097,Inf,Inf,21.57461166,0,28057,201,3.817113613,2.5
K_RQ2_SGO_t1_2,old_leaf,Kiel,2021-07-07,15.12.2021,188,July,Summer,NA,54.349,10.15,11.5,2,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-D03-SeaStore-Seq01-2022-K-RQ2-SGO-t1-2,1183F-1443R-P01-D03-SeaStore-Seq01-2022-K-RQ2-SGO-t1-2,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,7.25E-07,5.41E-05,14.44174767,-3.64,17993,359,4.962211083,3.92
M_RQ4_SGO_t1_2,old_leaf,Maasholm,2021-07-05,06.12.2021,186,July,Summer,NA,54.687,10.007,14.6,3,3,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-D06-SeaStore-Seq01-2022-M-RQ4-SGO-t1-2,1183F-1443R-P01-D06-SeaStore-Seq01-2022-M-RQ4-SGO-t1-2,0,0.0208602738,0.001887815768,0.7736870256,0.8239476887,0.07844843815,0.9893686468,0.8583808343,6,19.08343097,Inf,Inf,21.57461166,0,14541,165,3.484300745,2.24
K_RQ1_SGO_t1_1,old_leaf,Kiel,2021-07-07,25.11.2021,188,July,Summer,NA,54.349,10.15,20,3,6,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-E02-SeaStore-Seq01-2022-K-RQ1-SGO-t1-1,1183F-1443R-P01-E02-SeaStore-Seq01-2022-K-RQ1-SGO-t1-1,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,7.25E-07,5.41E-05,14.44174767,-3.64,32717,192,3.667887031,13
K_RQ2_SGO_t1_3,old_leaf,Kiel,2021-07-07,26.08.2021,188,July,Summer,NA,54.349,10.15,14.3,3,5,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-E03-SeaStore-Seq01-2022-K-RQ2-SGO-t1-3,1183F-1443R-P01-E03-SeaStore-Seq01-2022-K-RQ2-SGO-t1-3,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,7.25E-07,5.41E-05,14.44174767,-3.64,42164,411,4.768809466,53
M_RQ3_SGO_t1_1,old_leaf,Maasholm,2021-07-05,25.11.2021,186,July,Summer,NA,54.687,10.007,7.4,2,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-E05-SeaStore-Seq01-2022-M-RQ3-SGO-t1-1,1183F-1443R-P01-E05-SeaStore-Seq01-2022-M-RQ3-SGO-t1-1,0,0.0208602738,0.001887815768,0.7736870256,0.8239476887,0.07844843815,0.9893686468,0.8583808343,6,19.08343097,Inf,Inf,21.57461166,0,46826,357,4.852813406,1.15
M_RQ4_SGO_t1_3,old_leaf,Maasholm,2021-07-05,15.12.2021,186,July,Summer,NA,54.687,10.007,15.3,3,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-E06-SeaStore-Seq01-2022-M-RQ4-SGO-t1-3,1183F-1443R-P01-E06-SeaStore-Seq01-2022-M-RQ4-SGO-t1-3,0,0.0208602738,0.001887815768,0.7736870256,0.8239476887,0.07844843815,0.9893686468,0.8583808343,6,19.08343097,Inf,Inf,21.57461166,0,22702,190,3.912903544,1.29
K_RQ1_SGO_t1_2,old_leaf,Kiel,2021-07-07,06.12.2021,188,July,Summer,NA,54.349,10.15,14.7,2,5,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-F02-SeaStore-Seq01-2022-K-RQ1-SGO-t1-2,1183F-1443R-P01-F02-SeaStore-Seq01-2022-K-RQ1-SGO-t1-2,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,7.25E-07,5.41E-05,14.44174767,-3.64,46375,190,3.259344126,0.465
M_RQ3_SGO_t1_2,old_leaf,Maasholm,2021-07-05,25.11.2021,186,July,Summer,NA,54.687,10.007,9.9,2,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-F05-SeaStore-Seq01-2022-M-RQ3-SGO-t1-2,1183F-1443R-P01-F05-SeaStore-Seq01-2022-M-RQ3-SGO-t1-2,0,0.0208602738,0.001887815768,0.7736870256,0.8239476887,0.07844843815,0.9893686468,0.8583808343,6,19.08343097,Inf,Inf,21.57461166,0,13061,219,4.536448769,0.553
K_D_SGO_t1_1,old_leaf,Kiel,2021-07-06,10.08.2021,187,July,Summer,NA,54.346,10.154,35,3,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-G01-SeaStore-Seq01-2022-K-D-SGO-t1-1,1183F-1443R-P01-G01-SeaStore-Seq01-2022-K-D-SGO-t1-1,0.9486099468,0.8552587941,0.373863805,0.9949431349,0.9852850089,0.9802549501,0.9990751514,1,8,NA,1.17E-05,0.001480895281,13.03527451,-3.64,30690,157,3.832447621,12.1
K_RQ1_SGO_t1_3,old_leaf,Kiel,2021-07-07,28.07.2021,188,July,Summer,NA,54.349,10.15,12.5,2.5,5,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-G02-SeaStore-Seq01-2022-K-RQ1-SGO-t1-3,1183F-1443R-P01-G02-SeaStore-Seq01-2022-K-RQ1-SGO-t1-3,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,7.25E-07,5.41E-05,14.44174767,-3.64,40325,240,4.023906774,4.6
K_RQ4_SGO_t1_1,old_leaf,Kiel,2021-07-07,26.08.2021,188,July,Summer,NA,54.349,10.15,15.3,2,5,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-G04-SeaStore-Seq01-2022-K-RQ4-SGO-t1-1,1183F-1443R-P01-G04-SeaStore-Seq01-2022-K-RQ4-SGO-t1-1,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,7.25E-07,5.41E-05,14.44174767,-3.64,30620,216,3.467394454,19.6
M_RQ3_SGO_t1_3,old_leaf,Maasholm,2021-07-05,28.07.2021,186,July,Summer,NA,54.687,10.007,NA,2,3,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-G05-SeaStore-Seq01-2022-M-RQ3-SGO-t1-3,1183F-1443R-P01-G05-SeaStore-Seq01-2022-M-RQ3-SGO-t1-3,0,0.0208602738,0.001887815768,0.7736870256,0.8239476887,0.07844843815,0.9893686468,0.8583808343,6,19.08343097,Inf,Inf,21.57461166,0,39066,314,4.490315557,0.895
K_D_SGO_t1_2,old_leaf,Kiel,2021-07-06,25.11.2021,187,July,Summer,NA,54.346,10.154,42.5,4,3,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-H01-SeaStore-Seq01-2022-K-D-SGO-t1-2,1183F-1443R-P01-H01-SeaStore-Seq01-2022-K-D-SGO-t1-2,0.9486099468,0.8552587941,0.373863805,0.9949431349,0.9852850089,0.9802549501,0.9990751514,1,8,NA,1.17E-05,0.001480895281,13.03527451,-3.64,37709,200,3.736266581,2.24
K_RQ4_SGO_t1_2,old_leaf,Kiel,2021-07-07,15.12.2021,188,July,Summer,NA,54.349,10.15,18.5,4,6,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-H04-SeaStore-Seq01-2022-K-RQ4-SGO-t1-2,1183F-1443R-P01-H04-SeaStore-Seq01-2022-K-RQ4-SGO-t1-2,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,7.25E-07,5.41E-05,14.44174767,-3.64,32156,129,3.502869972,2.68
M_RQ3_SGO_t2_3,old_leaf,Maasholm,2021-08-02,10.08.2021,214,August,Summer,NA,54.687,10.007,13.7,2,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P02-A04-SeaStore-Seq02-2022-M-RQ3-SGO-t3-1,1183F-1443R-P02-A04-SeaStore-Seq02-2022-M-RQ3-SGO-t3-1,0,0.0208602738,0.001887815768,0.7736870256,0.8239476887,0.07844843815,0.9893686468,0.8583808343,6,20.07280595,Inf,Inf,22.44997215,0,22797,322,4.295864813,5.53
M_RQ4_SGO_t3_3,old_leaf,Maasholm,2021-09-23,03.12.2021,266,September,Autumn,NA,54.687,10.007,22,3,3,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P02-A07-SeaStore-Seq02-2022-K-D-SGO-t3-3,1183F-1443R-P02-A07-SeaStore-Seq02-2022-K-D-SGO-t3-3,0,0.0208602738,0.001887815768,0.7736870256,0.8239476887,0.07844843815,0.9893686468,0.8583808343,6,16.89343102,Inf,Inf,21.70870209,0,40828,190,3.491233141,1.83
K_D_SGO_t3_3,old_leaf,Kiel,2021-09-28,01.12.2021,271,September,Autumn,NA,54.346,10.154,52.7,3,2,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P02-A09-SeaStore-Seq02-2022-K-RQ3-SGO-t3-1,1183F-1443R-P02-A09-SeaStore-Seq02-2022-K-RQ3-SGO-t3-1,0.9486099468,0.8552587941,0.373863805,0.9949431349,0.9852850089,0.9802549501,0.9990751514,1,8,NA,2.94E-05,0.001935417354,14.06503677,-3.64,28021,171,3.534868298,4.18
SGO_1_Kos,old_leaf,Koster,2021-06-30,08.11.2022,181,June,Summer,2.5,58.883,10.992,NA,9,8,Seastore_Project,SP,whole_leaf,Kosterfjord,Sweden,515F-806R-P02-C04-SeaStore-Seq02-2022-M-RQ3-SGO-t3-3,1183F-1443R-P02-C04-SeaStore-Seq02-2022-M-RQ3-SGO-t3-3,9.28E-04,0,0.02058861509,0,0,0,0,0,1,15.95917623,Inf,Inf,34.83843994,0,31415,327,4.578559975,6.82
M_RQ4_SGO_t3_1,old_leaf,Maasholm,2021-09-23,18.11.2021,266,September,Autumn,NA,54.687,10.007,21.5,2,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P02-G06-SeaStore-Seq02-2022-K-D-SGO-t3-1,1183F-1443R-P02-G06-SeaStore-Seq02-2022-K-D-SGO-t3-1,0,0.0208602738,0.001887815768,0.7736870256,0.8239476887,0.07844843815,0.9893686468,0.8583808343,6,16.89343102,Inf,Inf,21.70870209,0,43686,333,4.467750191,0.796
K_RQ1_SGO_t3_3,old_leaf,Kiel,2021-09-29,03.12.2021,272,September,Autumn,NA,54.349,10.15,38,5,3,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P02-G09-SeaStore-Seq02-2022-K-RQ4-SGO-t3-1,1183F-1443R-P02-G09-SeaStore-Seq02-2022-K-RQ4-SGO-t3-1,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,7.38E-06,3.30E-04,14.06503677,-3.64,36694,157,3.565650215,2.44
