Sample_ID,Sample_name_16S,Sample_name_18S,Sample_type,Site,Sample_date,Extraction_date,Julian_day,Month,Season,Depth,Latitude,Longitude,Shoot_Length,Leaf_Width,No_Leaves,Dataset,Dataset_short,Dislodgment_method,Area,Country,Sheltered_Index,Sea_Surface_Temperature,Orbital_Velocity_Mean,Orbital_Velocity_Max,Salinity,Bathymetry,
K_RQ3_SGO_t1_3,515F-806R-P01-C04-SeaStore-Seq01-2022-K-RQ3-SGO-t1-3,1183F-1443R-P01-C04-SeaStore-Seq01-2022-K-RQ3-SGO-t1-3,old_leaf,Kiel,2021-07-07,16.12.2021,188,July,Summer,NA,54.349,10.15,19.5,4,4,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,8,NA,7.25E-07,5.41E-05,14.44174767,-3.64,
K_RQ4_SGO_t1_1,515F-806R-P01-G04-SeaStore-Seq01-2022-K-RQ4-SGO-t1-1,1183F-1443R-P01-G04-SeaStore-Seq01-2022-K-RQ4-SGO-t1-1,old_leaf,Kiel,2021-07-07,26.08.2021,188,July,Summer,NA,54.349,10.15,15.3,2,5,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,8,NA,7.25E-07,5.41E-05,14.44174767,-3.64,
K_RQ4_SGO_t1_2,515F-806R-P01-H04-SeaStore-Seq01-2022-K-RQ4-SGO-t1-2,1183F-1443R-P01-H04-SeaStore-Seq01-2022-K-RQ4-SGO-t1-2,old_leaf,Kiel,2021-07-07,15.12.2021,188,July,Summer,NA,54.349,10.15,18.5,4,6,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,8,NA,7.25E-07,5.41E-05,14.44174767,-3.64,
K_RQ4_SGO_t1_3,515F-806R-P01-A05-SeaStore-Seq01-2022-K-RQ4-SGO-t1-3,1183F-1443R-P01-A05-SeaStore-Seq01-2022-K-RQ4-SGO-t1-3,old_leaf,Kiel,2021-07-07,16.12.2021,188,July,Summer,NA,54.349,10.15,21.5,4,7,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,8,NA,7.25E-07,5.41E-05,14.44174767,-3.64,
M_RQ3_SGO_t1_1,515F-806R-P01-E05-SeaStore-Seq01-2022-M-RQ3-SGO-t1-1,1183F-1443R-P01-E05-SeaStore-Seq01-2022-M-RQ3-SGO-t1-1,old_leaf,Maasholm,2021-07-05,25.11.2021,186,July,Summer,NA,54.687,10.007,7.4,2,4,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,6,19.08343097,0.018783412,0.2279180821,21.57461166,0,
M_RQ3_SGO_t1_2,515F-806R-P01-F05-SeaStore-Seq01-2022-M-RQ3-SGO-t1-2,1183F-1443R-P01-F05-SeaStore-Seq01-2022-M-RQ3-SGO-t1-2,old_leaf,Maasholm,2021-07-05,25.11.2021,186,July,Summer,NA,54.687,10.007,9.9,2,4,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,6,19.08343097,0.018783412,0.2279180821,21.57461166,0,
M_RQ3_SGO_t1_3,515F-806R-P01-G05-SeaStore-Seq01-2022-M-RQ3-SGO-t1-3,1183F-1443R-P01-G05-SeaStore-Seq01-2022-M-RQ3-SGO-t1-3,old_leaf,Maasholm,2021-07-05,28.07.2021,186,July,Summer,NA,54.687,10.007,NA,2,3,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,6,19.08343097,0.018783412,0.2279180821,21.57461166,0,
M_RQ4_SGO_t1_1,515F-806R-P01-C06-SeaStore-Seq01-2022-M-RQ4-SGO-t1-1,1183F-1443R-P01-C06-SeaStore-Seq01-2022-M-RQ4-SGO-t1-1,old_leaf,Maasholm,2021-07-05,28.07.2021,186,July,Summer,NA,54.687,10.007,14.8,2.5,4,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,6,19.08343097,0.018783412,0.2279180821,21.57461166,0,
M_RQ4_SGO_t1_2,515F-806R-P01-D06-SeaStore-Seq01-2022-M-RQ4-SGO-t1-2,1183F-1443R-P01-D06-SeaStore-Seq01-2022-M-RQ4-SGO-t1-2,old_leaf,Maasholm,2021-07-05,06.12.2021,186,July,Summer,NA,54.687,10.007,14.6,3,3,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,6,19.08343097,0.018783412,0.2279180821,21.57461166,0,
M_RQ4_SGO_t1_3,515F-806R-P01-E06-SeaStore-Seq01-2022-M-RQ4-SGO-t1-3,1183F-1443R-P01-E06-SeaStore-Seq01-2022-M-RQ4-SGO-t1-3,old_leaf,Maasholm,2021-07-05,15.12.2021,186,July,Summer,NA,54.687,10.007,15.3,3,4,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,6,19.08343097,0.018783412,0.2279180821,21.57461166,0,
