"","root","type","kingdom","superkingdom","superphylum","phylum","class","order","family","genus","species"
"ASV4188","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Cyanobacteriaceae","Symphothece PCC-7002","Symphothece PCC-7002_unclassified"
"ASV4189","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Lentimonas","Lentimonas_unclassified"
"ASV4190","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Candidatus Megaira","Candidatus Megaira_unclassified"
"ASV4191","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Haloferula","Haloferula harenae"
"ASV4192","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae","Desulfobacteraceae_unclassified","Desulfobacteraceae_unclassified"
"ASV4193","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Desulfobacterota","Desulfobacteria","Desulfatiglandales","Desulfatiglandaceae","Desulfatiglans","Desulfatiglans_unclassified"
"ASV4195","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagales_unclassified","Chitinophagales_unclassified","Chitinophagales_unclassified"
"ASV4196","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidales_unclassified","Bacteroidales_unclassified","Bacteroidales_unclassified"
"ASV4197","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellulaceae_unclassified","Pirellulaceae_unclassified"
"ASV4198","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolineaceae_unclassified","Anaerolineaceae_unclassified"
"ASV4199","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Cyclobacteriaceae_unclassified","Cyclobacteriaceae_unclassified"
"ASV4200","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Flavobacteriales","Schleiferiaceae","Schleiferia","Schleiferia_unclassified"
"ASV4201","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Chloroflexi","Dehalococcoidia","S085","S085_unclassified","S085_unclassified","S085_unclassified"
"ASV4202","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Chloroflexi","Anaerolineae","SBR1031","SBR1031_unclassified","SBR1031_unclassified","SBR1031_unclassified"
"ASV4204","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Parcubacteria","Candidatus Moranbacteria","Candidatus Moranbacteria_unclassified","Candidatus Moranbacteria_unclassified","Candidatus Moranbacteria_unclassified","Candidatus Moranbacteria_unclassified"
"ASV4205","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcystaceae","SU2 symbiont group","SU2 symbiont group_unclassified"
"ASV4206","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrionaceae_unclassified","Vibrionaceae_unclassified"
"ASV4207","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia","Woeseia_unclassified"
"ASV4208","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rhodopirellula","Rhodopirellula_unclassified"
"ASV4210","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolineaceae_unclassified","Anaerolineaceae_unclassified"
"ASV4211","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolineaceae_unclassified","Anaerolineaceae_unclassified"
"ASV4212","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","Rubinisphaeraceae_unclassified","Rubinisphaeraceae_unclassified"
"ASV4213","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Gammaproteobacteria","Ectothiorhodospirales","Thioalkalispiraceae","Thioalkalispira-Sulfurivermis","Thioalkalispira-Sulfurivermis_unclassified"
"ASV4214","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Campylobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacteraceae_unclassified","Arcobacteraceae_unclassified"
"ASV4215","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","DEV007","DEV007_unclassified","DEV007_unclassified"
"ASV4216","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Chloroflexi","Anaerolineae","Ardenticatenales","Ardenticatenales_unclassified","Ardenticatenales_unclassified","Ardenticatenales_unclassified"
"ASV4217","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Desulfobacterota","Desulfobacteria","Desulfatiglandales","Desulfatiglandaceae","Desulfatiglans","Desulfatiglans_unclassified"
"ASV4218","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rhodopirellula","Rhodopirellula_unclassified"
"ASV4219","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula","Blastopirellula_unclassified"
"ASV4220","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Chloroflexi","Dehalococcoidia","Dehalococcoidia_unclassified","Dehalococcoidia_unclassified","Dehalococcoidia_unclassified","Dehalococcoidia_unclassified"
"ASV4221","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolineaceae_unclassified","Anaerolineaceae_unclassified"
"ASV4222","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_unclassified"
"ASV4224","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellulaceae_unclassified","Pirellulaceae_unclassified"
"ASV4225","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Sva0485","Sva0485_unclassified","Sva0485_unclassified","Sva0485_unclassified","Sva0485_unclassified","Sva0485_unclassified"
"ASV4226","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Rubritaleaceae_unclassified","Rubritaleaceae_unclassified"
