Sample_ID,Sample_type,Site,Extraction_date,Julian_day,Month,Season,Depth,Latitude,Longitude,Sample_date,Shoot_Length,Leaf_Width,No_Leaves,Salinity,Temperature,Dataset,Dataset_short,Dislodgment_method,Area,Country,LibrarySize_16S,Bathymetry,Richness_16S,Shannon_16S,Orbital_Velocity_from_Max,Orbital_Velocity_from_Mean,Orbital_Velocity
NM-SGO-3,old_leaf,HamburgerHallig,12.01.2021,249,September,Autumn,0.2,54.598417,8.811733,05.09.2020,NA,NA,NA,23,NA,Salinity_Gradient,SG,whole_leaf,NorthSea,Germany,41392,NA,342,4.389032646,NA,NA,Growing Season
RO-SGO-1,old_leaf,Warnemunde,15.12.2020,170,June,Summer,2,54.179515,12.103809,18.06.2020,57,5,5,10,NA,Salinity_Gradient,SG,whole_leaf,Mecklenburg Bay,Germany,20537,-3.74,199,3.301331907,0.4059996,0.5003717,Growing Season
KF-SGO-5,old_leaf,Falckenstein,13.01.2021,175,June,Summer,2.9,54.394034,10.191501,23.06.2020,92,NA,NA,14,NA,Salinity_Gradient,SG,whole_leaf,KielFjord,Germany,27895,-1.55,328,3.50782309,0.8469179,1.1165314,Growing Season
H1-SGY-1,young_leaf,Schaprode1,07.10.2020,196,July,Summer,2.7,54.514502,13.138693,14.07.2020,60,NA,NA,9,NA,Salinity_Gradient,SG,whole_leaf,Western Pomerania Lagoon National Park,Germany,18969,-2.08,287,4.154909396,0.911802,1.1532844,Growing Season
KB-SGY-1,young_leaf,Badeanstalt,14.12.2020,175,June,Summer,2.4,54.349571,10.148966,23.06.2020,56,3,NA,14,NA,Salinity_Gradient,SG,whole_leaf,KielFjord,Germany,91919,-2.97,278,3.210885066,1.0559041,1.5667877,Growing Season
NM-SGY-3,young_leaf,HamburgerHallig,07.12.2020,249,September,Autumn,0.2,54.598417,8.811733,05.09.2020,NA,NA,NA,23,NA,Salinity_Gradient,SG,whole_leaf,NorthSea,Germany,35997,NA,119,1.269299862,NA,NA,Growing Season
RO-SGY-1,young_leaf,Warnemunde,15.12.2020,170,June,Summer,2,54.179515,12.103809,18.06.2020,57,3,NA,10,NA,Salinity_Gradient,SG,whole_leaf,Mecklenburg Bay,Germany,24537,-3.74,166,2.734885376,0.4059996,0.5003717,Growing Season
V1-SGO-3,old_leaf,Vilm1,16.12.2020,195,July,Summer,1.65,54.314936,13.514327,13.07.2020,57,2,NA,8.5,NA,Salinity_Gradient,SG,whole_leaf,Mecklenburg Bay,Germany,33599,-2.2,340,4.237973203,0.8780277,1.1106649,Growing Season
KF-SGY-5,young_leaf,Falckenstein,11.12.2020,175,June,Summer,2.9,54.394034,10.191501,23.06.2020,94,5,NA,14,NA,Salinity_Gradient,SG,whole_leaf,KielFjord,Germany,69212,-1.55,224,2.987439394,0.8469179,1.1165314,Growing Season
M_RQ4_SGO_t5_1,old_leaf,Maasholm,08.08.2023,144,May,Spring,NA,54.687,10.007,24.05.2023,NA,3,6,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,81678,0,150,2.341775735,2.4156467,2.7973981,Initial Season
M_RQ4_SGO_t5_2,old_leaf,Maasholm,09.08.2023,144,May,Spring,NA,54.687,10.007,24.05.2023,NA,3.5,4,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,46066,0,322,3.995950373,2.4156467,2.7973981,Initial Season
K_RQ1_SGO_t5_3,old_leaf,Kiel,10.08.2023,143,May,Spring,NA,54.349,10.15,23.05.2023,NA,3,4,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,101921,-3.64,84,1.572090829,1.0040563,1.4885341,Initial Season
K_RQ2_SGO_t5_1,old_leaf,Kiel,08.08.2023,142,May,Spring,NA,54.349,10.15,22.05.2023,NA,4,10,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,58266,-3.64,334,3.872020622,1.0040563,1.4885341,Initial Season
K_RQ3_SGO_t5_1,old_leaf,Kiel,08.08.2023,145,May,Spring,NA,54.349,10.15,25.05.2023,NA,4,8,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,77551,-3.64,93,2.027173947,1.0040563,1.4885341,Initial Season
K_RQ3_SGO_t5_2,old_leaf,Kiel,09.08.2023,145,May,Spring,NA,54.349,10.15,25.05.2023,NA,4,5,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,116713,-3.64,129,1.999716045,1.0040563,1.4885341,Initial Season
K_RQ3_SGO_t5_3,old_leaf,Kiel,10.08.2023,145,May,Spring,NA,54.349,10.15,25.05.2023,NA,NA,4,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,46977,-3.64,312,3.654574181,1.0040563,1.4885341,Initial Season
K_RQ2_SGO_t4_1,old_leaf,Kiel,24.08.2022,145,May,Spring,NA,54.349,10.15,25.05.2022,40.9,3.5,3,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,57025,-3.64,140,2.542215209,1.0040563,1.4885341,Initial Season
K_RQ1_SGO_t4_1,old_leaf,Kiel,24.08.2022,145,May,Spring,NA,54.349,10.15,25.05.2022,36,4,5,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,115923,-3.64,132,2.349813058,1.0040563,1.4885341,Initial Season
K_D_SGO_t4_1,old_leaf,Kiel,24.08.2022,146,May,Spring,NA,54.346,10.154,26.05.2022,35.7,5,4,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,28279,-3.64,97,2.309052338,0.8972946,1.314783,Initial Season
K_D_SGO_t4_2,old_leaf,Kiel,21.09.2022,146,May,Spring,NA,54.346,10.154,26.05.2022,23.6,3.5,4,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,39944,-3.64,246,3.7017277,0.8972946,1.314783,Initial Season
L_11_SGO_b,old_leaf,GEOMAR_Lab,16.12.2021,274,October,Autumn,NA,NA,NA,01.10.2021,71,4,4,NA,NA,Seastore_Project,SP,whole_leaf,Lab,Germany,31334,NA,335,4.638426714,NA,NA,Growing Season
K_RQ4_SGO_t4_1,old_leaf,Kiel,24.08.2022,145,May,Spring,NA,54.349,10.15,25.05.2022,34.4,5,4,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,75539,-3.64,136,2.600850826,1.0040563,1.4885341,Initial Season
K_RQ4_SGO_t4_2,old_leaf,Kiel,21.09.2022,145,May,Spring,NA,54.349,10.15,25.05.2022,38,5,4,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,25635,-3.64,137,2.849009088,1.0040563,1.4885341,Initial Season
L_11_SGO_r,old_leaf,GEOMAR_Lab,16.12.2021,274,October,Autumn,NA,NA,NA,01.10.2021,78,4,3,NA,NA,Seastore_Project,SP,whole_leaf,Lab,Germany,24462,NA,554,5.408481653,NA,NA,Growing Season
K_RQ3_SGO_t4_1,old_leaf,Kiel,24.08.2022,145,May,Spring,NA,54.349,10.15,25.05.2022,29.2,4,4,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,104548,-3.64,154,2.319588189,1.0040563,1.4885341,Initial Season
M_N_SGO_t0_3,old_leaf,Maasholm,15.12.2021,161,June,Summer,NA,54.687,10.007,10.06.2021,20.5,3.5,3,15,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,52435,0,270,3.50427764,2.4338127,2.8291429,Growing Season
K_RQ3_SGO_t4_2,old_leaf,Kiel,21.09.2022,145,May,Spring,NA,54.349,10.15,25.05.2022,47,4,4,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,8119,-3.64,68,2.083749931,1.0040563,1.4885341,Initial Season
M_N_SGO_t0_2,old_leaf,Maasholm,26.11.2021,161,June,Summer,NA,54.687,10.007,10.06.2021,21.2,3,7,15,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,10017,0,130,3.736666431,2.4338127,2.8291429,Growing Season
KR2_SGO_3,old_leaf,Koster,18.11.2022,222,August,Summer,NA,58.883,11.005,10.08.2021,31.2,6.3,5,NA,NA,Seastore_Project,SP,whole_leaf,Kosterfjord,Sweden,27766,0,287,4.390275911,1.4100779,1.6219851,Growing Season
GR19_SGO_2,old_leaf,Gasö,NA,208,July,Summer,NA,58.231,11.398,27.07.2021,69,4.5,6,NA,NA,Seastore_Project,SP,whole_leaf,Gasöfjord,Sweden,70679,-2.55,914,5.88238799,0.2900472,0.3376731,Growing Season
K_D_SGO_t0_1,old_leaf,Kiel,28.07.2021,151,May,Spring,NA,54.346,10.154,31.05.2021,25.1,4.5,6,16,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,64924,-3.64,144,2.554714381,0.8972946,1.314783,Initial Season
K_D_SGO_t1_3,old_leaf,Kiel,26.11.2021,187,July,Summer,NA,54.346,10.154,06.07.2021,48.7,4,3,14.6,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,91679,-3.64,128,2.353765091,0.9446021,1.3919636,Growing Season
K_RQ3_SGO_t1_1,old_leaf,Kiel,25.11.2021,188,July,Summer,NA,54.349,10.15,07.07.2021,23,2,4,14.6,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,80421,-3.64,199,2.229705274,1.0529108,1.5665299,Growing Season
K_RQ4_SGO_t1_3,old_leaf,Kiel,16.12.2021,188,July,Summer,NA,54.349,10.15,07.07.2021,21.5,4,7,14.6,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,88898,-3.64,206,3.046913559,1.0529108,1.5665299,Growing Season
K_D_SGO_t0_2,old_leaf,Kiel,25.11.2021,151,May,Spring,NA,54.346,10.154,31.05.2021,17,3,4,16,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,92800,-3.64,201,2.7865875,0.8972946,1.314783,Initial Season
K_RQ3_SGO_t1_2,old_leaf,Kiel,28.07.2021,188,July,Summer,NA,54.349,10.15,07.07.2021,9.2,2,3,14.6,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,53955,-3.64,236,3.727676346,1.0529108,1.5665299,Growing Season
K_D_SGO_t0_3,old_leaf,Kiel,01.12.2021,151,May,Spring,NA,54.346,10.154,31.05.2021,18.6,4,4,16,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,74547,-3.64,207,3.00986519,0.8972946,1.314783,Initial Season
K_RQ2_SGO_t1_1,old_leaf,Kiel,25.11.2021,188,July,Summer,NA,54.349,10.15,07.07.2021,14.4,2.5,4,14.6,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,56713,-3.64,182,3.342067018,1.0529108,1.5665299,Growing Season
K_RQ3_SGO_t1_3,old_leaf,Kiel,16.12.2021,188,July,Summer,NA,54.349,10.15,07.07.2021,19.5,4,4,14.6,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,72047,-3.64,275,3.247811154,1.0529108,1.5665299,Growing Season
M_RQ4_SGO_t1_1,old_leaf,Maasholm,28.07.2021,186,July,Summer,NA,54.687,10.007,05.07.2021,14.8,2.5,4,12.9,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,58452,0,198,3.008536711,2.4338127,2.8291429,Growing Season
K_RQ2_SGO_t1_2,old_leaf,Kiel,15.12.2021,188,July,Summer,NA,54.349,10.15,07.07.2021,11.5,2,4,14.6,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,41919,-3.64,342,3.612065771,1.0529108,1.5665299,Growing Season
M_RQ4_SGO_t1_2,old_leaf,Maasholm,06.12.2021,186,July,Summer,NA,54.687,10.007,05.07.2021,14.6,3,3,12.9,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,33497,0,191,3.214251621,2.4338127,2.8291429,Growing Season
K_RQ1_SGO_t1_1,old_leaf,Kiel,25.11.2021,188,July,Summer,NA,54.349,10.15,07.07.2021,20,3,6,14.6,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,107012,-3.64,161,2.419532416,1.0529108,1.5665299,Growing Season
K_RQ2_SGO_t1_3,old_leaf,Kiel,26.08.2021,188,July,Summer,NA,54.349,10.15,07.07.2021,14.3,3,5,14.6,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,80136,-3.64,401,3.841242391,1.0529108,1.5665299,Growing Season
M_RQ3_SGO_t1_1,old_leaf,Maasholm,25.11.2021,186,July,Summer,NA,54.687,10.007,05.07.2021,7.4,2,4,12.9,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,95610,0,341,3.607223875,2.4338127,2.8291429,Growing Season
M_RQ4_SGO_t1_3,old_leaf,Maasholm,15.12.2021,186,July,Summer,NA,54.687,10.007,05.07.2021,15.3,3,4,12.9,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,27900,0,222,3.960382789,2.4338127,2.8291429,Growing Season
K_RQ1_SGO_t1_2,old_leaf,Kiel,06.12.2021,188,July,Summer,NA,54.349,10.15,07.07.2021,14.7,2,5,14.6,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,79239,-3.64,185,3.041053391,1.0529108,1.5665299,Growing Season
M_RQ3_SGO_t1_2,old_leaf,Maasholm,25.11.2021,186,July,Summer,NA,54.687,10.007,05.07.2021,9.9,2,4,12.9,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,22805,0,236,3.961933735,2.4338127,2.8291429,Growing Season
K_D_SGO_t1_1,old_leaf,Kiel,10.08.2021,187,July,Summer,NA,54.346,10.154,06.07.2021,35,3,4,14.6,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,75888,-3.64,144,2.792658659,0.9446021,1.3919636,Growing Season
K_RQ1_SGO_t1_3,old_leaf,Kiel,28.07.2021,188,July,Summer,NA,54.349,10.15,07.07.2021,12.5,2.5,5,14.6,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,55890,-3.64,259,3.963795153,1.0529108,1.5665299,Growing Season
K_RQ4_SGO_t1_1,old_leaf,Kiel,26.08.2021,188,July,Summer,NA,54.349,10.15,07.07.2021,15.3,2,5,14.6,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,43823,-3.64,232,3.387740326,1.0529108,1.5665299,Growing Season
M_RQ3_SGO_t1_3,old_leaf,Maasholm,28.07.2021,186,July,Summer,NA,54.687,10.007,05.07.2021,NA,2,3,12.9,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,64418,0,326,3.851506039,2.4338127,2.8291429,Growing Season
K_D_SGO_t1_2,old_leaf,Kiel,25.11.2021,187,July,Summer,NA,54.346,10.154,06.07.2021,42.5,4,3,14.6,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,95566,-3.64,179,2.973135169,0.9446021,1.3919636,Growing Season
K_RQ4_SGO_t1_2,old_leaf,Kiel,15.12.2021,188,July,Summer,NA,54.349,10.15,07.07.2021,18.5,4,6,14.6,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,56697,-3.64,131,3.187369298,1.0529108,1.5665299,Growing Season
M_RQ3_SGO_t2_3,old_leaf,Maasholm,10.08.2021,214,August,Summer,NA,54.687,10.007,02.08.2021,13.7,2,4,15,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,56221,0,324,3.179038656,2.4338127,2.8291429,Growing Season
M_RQ4_SGO_t3_3,old_leaf,Maasholm,03.12.2021,266,September,Autumn,NA,54.687,10.007,23.09.2021,22,3,3,15,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,50754,0,206,3.351019967,2.4338127,2.8291429,Growing Season
K_D_SGO_t3_3,old_leaf,Kiel,01.12.2021,271,September,Autumn,NA,54.346,10.154,28.09.2021,52.7,3,2,16,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,52694,-3.64,171,2.641914999,0.9446021,1.3919636,Growing Season
SGO_1_Kos,old_leaf,Koster,08.11.2022,181,June,Summer,2.5,58.883,10.992,30.06.2021,NA,9,8,NA,NA,Seastore_Project,SP,whole_leaf,Kosterfjord,Sweden,62882,0,325,3.598472078,1.4290624,1.6333477,Growing Season
M_RQ4_SGO_t3_1,old_leaf,Maasholm,18.11.2021,266,September,Autumn,NA,54.687,10.007,23.09.2021,21.5,2,4,15,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,52912,0,370,4.052684972,2.4338127,2.8291429,Growing Season
K_RQ1_SGO_t3_3,old_leaf,Kiel,03.12.2021,272,September,Autumn,NA,54.349,10.15,29.09.2021,38,5,3,16,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,70483,-3.64,147,2.649031136,1.0529108,1.5665299,Growing Season
M_RQ4_SGO_t3_2,old_leaf,Maasholm,25.11.2021,266,September,Autumn,NA,54.687,10.007,23.09.2021,22.2,2,3,15,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,33284,0,107,1.858500952,2.4338127,2.8291429,Growing Season
G_D_SGO_t0_1,old_leaf,Gelting,24.08.2022,131,May,Spring,NA,54.767,9.877,11.05.2022,NA,3,4,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,64395,-4.09,180,2.54033023,0.7387668,1.0041101,Initial Season
G_D_SGO_t0_2,old_leaf,Gelting,21.09.2022,131,May,Spring,NA,54.767,9.877,11.05.2022,NA,4,4,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,40573,-4.09,770,5.774300612,0.7387668,1.0041101,Initial Season
G_D_SGO_t0_3,old_leaf,Gelting,07.10.2022,131,May,Spring,NA,54.767,9.877,11.05.2022,NA,2,4,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,36830,-4.09,723,5.708508056,0.7387668,1.0041101,Initial Season
M_RQ3_SGO_t5_1,old_leaf,Maasholm,08.08.2023,144,May,Spring,NA,54.687,10.007,24.05.2023,NA,4,9,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,75664,0,496,4.990402663,2.4156467,2.7973981,Initial Season
M_RQ3_SGO_t5_2,old_leaf,Maasholm,09.08.2023,144,May,Spring,NA,54.687,10.007,24.05.2023,NA,5,6,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,52035,0,567,5.207881847,2.4156467,2.7973981,Initial Season
M_RQ3_SGO_t5_3,old_leaf,Maasholm,10.08.2023,144,May,Spring,NA,54.687,10.007,24.05.2023,NA,3,7,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,41232,0,757,5.812052866,2.4156467,2.7973981,Initial Season
M_RQ4_SGO_t5_3,old_leaf,Maasholm,10.08.2023,144,May,Spring,NA,54.687,10.007,24.05.2023,NA,3,4,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,33531,0,354,4.672692008,2.4156467,2.7973981,Initial Season
K_D_SGO_t5_1,old_leaf,Kiel,08.08.2023,142,May,Spring,NA,54.346,10.154,22.05.2023,NA,4,6,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,65057,-3.64,743,5.397235666,0.8972946,1.314783,Initial Season
K_D_SGO_t5_2,old_leaf,Kiel,09.08.2023,142,May,Spring,NA,54.346,10.154,22.05.2023,NA,5,7,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,49456,-3.64,839,5.652074953,0.8972946,1.314783,Initial Season
K_D_SGO_t5_3,old_leaf,Kiel,10.08.2023,142,May,Spring,NA,54.346,10.154,22.05.2023,NA,4,6,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,68691,-3.64,545,5.102720117,0.8972946,1.314783,Initial Season
K_RQ1_SGO_t5_1,old_leaf,Kiel,08.08.2023,143,May,Spring,NA,54.349,10.15,23.05.2023,NA,5,6,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,55857,-3.64,91,1.803407453,1.0040563,1.4885341,Initial Season
K_RQ2_SGO_t5_2,old_leaf,Kiel,09.08.2023,142,May,Spring,NA,54.349,10.15,22.05.2023,NA,5,10,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,25950,-3.64,714,5.866531794,1.0040563,1.4885341,Initial Season
K_RQ2_SGO_t5_3,old_leaf,Kiel,10.08.2023,142,May,Spring,NA,54.349,10.15,22.05.2023,NA,4,7,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,49718,-3.64,585,5.342286332,1.0040563,1.4885341,Initial Season
K_RQ4_SGO_t5_1,old_leaf,Kiel,08.08.2023,143,May,Spring,NA,54.349,10.15,23.05.2023,NA,8,4,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,76960,-3.64,465,4.220814872,1.0040563,1.4885341,Initial Season
K_RQ4_SGO_t5_2,old_leaf,Kiel,09.08.2023,143,May,Spring,NA,54.349,10.15,23.05.2023,NA,5,4,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,43082,-3.64,967,6.020830413,1.0040563,1.4885341,Initial Season
K_RQ4_SGO_t5_3,old_leaf,Kiel,10.08.2023,143,May,Spring,NA,54.349,10.15,23.05.2023,NA,4,4,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,43960,-3.64,715,5.681524255,1.0040563,1.4885341,Initial Season
G_D_SGO_t4_1,old_leaf,Gelting,08.08.2023,171,June,Summer,NA,54.767,9.877,20.06.2023,NA,4.5,6,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,85564,-4.09,521,4.432514552,0.7820864,1.0730525,Growing Season
G_D_SGO_t4_2,old_leaf,Gelting,09.08.2023,171,June,Summer,NA,54.767,9.877,20.06.2023,NA,5,6,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,71821,-4.09,484,4.981031417,0.7820864,1.0730525,Growing Season
G_D_SGO_t4_3,old_leaf,Gelting,10.08.2023,171,June,Summer,NA,54.767,9.877,20.06.2023,NA,3.9,6,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,61758,-4.09,933,5.87358908,0.7820864,1.0730525,Growing Season
G_RQ4_SGO_t4_1,old_leaf,Gelting,08.08.2023,171,June,Summer,NA,54.767,9.877,20.06.2023,NA,3,6,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,35020,-4.09,495,5.068697539,0.7820864,1.0730525,Growing Season
G_RQ4_SGO_t4_2,old_leaf,Gelting,09.08.2023,171,June,Summer,NA,54.767,9.877,20.06.2023,NA,3,5,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,33312,-4.09,785,5.90301671,0.7820864,1.0730525,Growing Season
G_RQ4_SGO_t4_3,old_leaf,Gelting,10.08.2023,171,June,Summer,NA,54.767,9.877,20.06.2023,NA,4,6,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,30529,-4.09,868,6.076801549,0.7820864,1.0730525,Growing Season
M_RQ3_SGO_t3_1,old_leaf,Maasholm,25.11.2021,266,September,Autumn,NA,54.687,10.007,23.09.2021,13.6,2,4,15,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,34829,0,408,5.036286652,2.4338127,2.8291429,Growing Season
K_RQ3_SGO_t3_1,old_leaf,Kiel,25.11.2021,272,September,Autumn,NA,54.349,10.15,29.09.2021,36,4,4,16,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,67927,-3.64,597,5.197888344,1.0529108,1.5665299,Growing Season
K_RQ4_SGO_t3_3,old_leaf,Kiel,10.12.2021,272,September,Autumn,NA,54.349,10.15,29.09.2021,40,5,3,16,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,46488,-3.64,530,5.207402234,1.0529108,1.5665299,Growing Season
M_RQ3_SGO_t3_2,old_leaf,Maasholm,03.12.2021,266,September,Autumn,NA,54.687,10.007,23.09.2021,43.5,2,5,15,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,14818,0,264,4.740074403,2.4338127,2.8291429,Growing Season
K_RQ3_SGO_t3_2,old_leaf,Kiel,26.11.2021,272,September,Autumn,NA,54.349,10.15,29.09.2021,32,5,3,16,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,33123,-3.64,467,5.130875384,1.0529108,1.5665299,Growing Season
M_RQ3_SGO_t3_3,old_leaf,Maasholm,18.11.2021,266,September,Autumn,NA,54.687,10.007,23.09.2021,21.6,3,4,15,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,40774,0,531,5.117967185,2.4338127,2.8291429,Growing Season
K_RQ2_SGO_t3_1,old_leaf,Kiel,25.11.2021,272,September,Autumn,NA,54.349,10.15,29.09.2021,31,4,4,16,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,125434,-3.64,89,1.684958078,1.0529108,1.5665299,Growing Season
K_RQ3_SGO_t3_3,old_leaf,Kiel,06.12.2021,272,September,Autumn,NA,54.349,10.15,29.09.2021,27.3,3,4,16,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,47342,-3.64,720,5.625356535,1.0529108,1.5665299,Growing Season
SGO_10_Kos,old_leaf,Koster,09.11.2022,181,June,Summer,2.5,58.883,10.992,30.06.2021,NA,6,5,NA,NA,Seastore_Project,SP,whole_leaf,Kosterfjord,Sweden,37301,0,399,4.526612936,1.4290624,1.6333477,Growing Season
K_RQ2_SGO_t3_2,old_leaf,Kiel,10.12.2021,272,September,Autumn,NA,54.349,10.15,29.09.2021,39.5,4,4,16,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,61283,-3.64,283,3.166429881,1.0529108,1.5665299,Growing Season
SGO_20_Kos,old_leaf,Koster,30.11.2022,181,June,Summer,2.5,58.883,10.992,30.06.2021,NA,9,7,NA,NA,Seastore_Project,SP,whole_leaf,Kosterfjord,Sweden,64836,0,409,4.860652172,1.4290624,1.6333477,Growing Season
K_RQ1_SGO_t3_1,old_leaf,Kiel,25.11.2021,272,September,Autumn,NA,54.349,10.15,29.09.2021,23,3,3,16,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,55093,-3.64,273,3.050689503,1.0529108,1.5665299,Growing Season
K_RQ2_SGO_t3_3,old_leaf,Kiel,06.12.2021,272,September,Autumn,NA,54.349,10.15,29.09.2021,34.5,4,4,16,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,47961,-3.64,704,5.633347051,1.0529108,1.5665299,Growing Season
K_RQ1_SGO_t3_2,old_leaf,Kiel,06.12.2021,272,September,Autumn,NA,54.349,10.15,29.09.2021,34.5,4,4,16,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,73029,-3.64,145,2.491887184,1.0529108,1.5665299,Growing Season
K_D_SGO_t3_1,old_leaf,Kiel,25.11.2021,271,September,Autumn,NA,54.346,10.154,28.09.2021,59,3,3,16,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,44433,-3.64,300,3.892349634,0.9446021,1.3919636,Growing Season
K_RQ4_SGO_t3_1,old_leaf,Kiel,25.11.2021,272,September,Autumn,NA,54.349,10.15,29.09.2021,28.8,3,3,16,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,61072,-3.64,608,5.36885547,1.0529108,1.5665299,Growing Season
K_D_SGO_t3_2,old_leaf,Kiel,10.12.2021,271,September,Autumn,NA,54.346,10.154,28.09.2021,63.5,3,4,16,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,129403,-3.64,193,2.202015446,0.9446021,1.3919636,Growing Season
K_RQ4_SGO_t3_2,old_leaf,Kiel,10.12.2021,272,September,Autumn,NA,54.349,10.15,29.09.2021,34.4,3.5,3,16,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,57604,-3.64,731,5.573018805,1.0529108,1.5665299,Growing Season
