Sample_ID,Sample_type,Site,Extraction_date,Julian_day,Month,Season,Depth,Latitude,Longitude,Sample_date,Shoot_Length,Leaf_Width,No_Leaves,Salinity,Temperature,Dataset,Dataset_short,Dislodgment_method,Area,Country,LibrarySize_16S,Bathymetry,Richness_16S,Shannon_16S,Orbital_Velocity_from_Max,Orbital_Velocity_from_Mean,Orbital_Velocity
Lx3,whole plant,libbenX,10.05.2016,243,August,Summer,7.1,54.61305,13.17829,31.08.2015,59,3,5,NA,NA,Hiddensee_Study,HS,swabbing,Western Pomerania Lagoon National Park,Germany,24135,-6.95,373,4.904275355,0.4953635,0.6481705,Growing Season
Lx4,whole plant,libbenX,19.05.2016,243,August,Summer,7.1,54.61305,13.17829,31.08.2015,76,3.5,4,NA,NA,Hiddensee_Study,HS,swabbing,Western Pomerania Lagoon National Park,Germany,24662,-6.95,335,4.686773356,0.4953635,0.6481705,Growing Season
Lx5,whole plant,libbenX,19.05.2016,243,August,Summer,7.1,54.61305,13.17829,31.08.2015,72,3,5,NA,NA,Hiddensee_Study,HS,swabbing,Western Pomerania Lagoon National Park,Germany,34814,-6.95,377,4.829821085,0.4953635,0.6481705,Growing Season
S1,whole plant,shaprode1,02.05.2016,244,September,Autumn,3.4,54.51641,13.13775,01.09.2015,100,4.5,4,NA,NA,Hiddensee_Study,HS,swabbing,Western Pomerania Lagoon National Park,Germany,10137,-3.62,440,5.422658355,0.8747315,1.1350252,Growing Season
S10,whole plant,shaprode2,18.05.2016,244,September,Autumn,1.9,54.51144,13.14459,01.09.2015,30,3,5,NA,NA,Hiddensee_Study,HS,swabbing,Western Pomerania Lagoon National Park,Germany,24582,-1.6,584,5.428714633,0.9571334,1.1864998,Growing Season
S3,whole plant,shaprode1,11.01.2016,244,September,Autumn,3.4,54.51641,13.13775,01.09.2015,100,4,4,NA,NA,Hiddensee_Study,HS,swabbing,Western Pomerania Lagoon National Park,Germany,5948,-3.62,327,5.139249451,0.8747315,1.1350252,Growing Season
S4,whole plant,shaprode1,07.01.2016,244,September,Autumn,3.4,54.51641,13.13775,01.09.2015,105,5,4,NA,NA,Hiddensee_Study,HS,swabbing,Western Pomerania Lagoon National Park,Germany,13891,-3.62,494,5.460974397,0.8747315,1.1350252,Growing Season
S5,whole plant,shaprode1,02.11.2015,244,September,Autumn,3.4,54.51641,13.13775,01.09.2015,105,5,4,NA,NA,Hiddensee_Study,HS,swabbing,Western Pomerania Lagoon National Park,Germany,13158,-3.62,503,5.565853391,0.8747315,1.1350252,Growing Season
S6,whole plant,shaprode2,27.04.2016,244,September,Autumn,1.9,54.51144,13.14459,01.09.2015,25,2.5,4,NA,NA,Hiddensee_Study,HS,swabbing,Western Pomerania Lagoon National Park,Germany,16962,-1.6,454,5.046272082,0.9571334,1.1864998,Growing Season
S7,whole plant,shaprode2,27.04.2016,244,September,Autumn,1.9,54.51144,13.14459,01.09.2015,29,3,4,NA,NA,Hiddensee_Study,HS,swabbing,Western Pomerania Lagoon National Park,Germany,35040,-1.6,653,5.433920892,0.9571334,1.1864998,Growing Season
